""
"800	0.06226"
"799	0.06253"
"798	0.06323"
"797	0.06385"
"796	0.06479"
"795	0.06507"
"794	0.0655"
"793	0.0661"
"792	0.06683"
"791	0.06763"
"790	0.06859"
"789	0.06885"
"788	0.06952"
"787	0.07044"
"786	0.07105"
"785	0.07205"
"784	0.07297"
"783	0.0738"
"782	0.07473"
"781	0.07573"
"780	0.07682"
"779	0.0779"
"778	0.07926"
"777	0.08061"
"776	0.08157"
"775	0.08275"
"774	0.08422"
"773	0.08561"
"772	0.08678"
"771	0.08869"
"770	0.0905"
"769	0.09229"
"768	0.09409"
"767	0.09606"
"766	0.09821"
"765	0.10008"
"764	0.10227"
"763	0.10505"
"762	0.10779"
"761	0.11031"
"760	0.11307"
"759	0.116"
"758	0.11952"
"757	0.12303"
"756	0.12662"
"755	0.1305"
"754	0.13447"
"753	0.13862"
"752	0.14325"
"751	0.14838"
"750	0.15352"
"749	0.15883"
"748	0.16462"
"747	0.17065"
"746	0.17671"
"745	0.18331"
"744	0.19046"
"743	0.19792"
"742	0.20601"
"741	0.21452"
"740	0.22347"
"739	0.23251"
"738	0.24185"
"737	0.25171"
"736	0.26209"
"735	0.273"
"734	0.28417"
"733	0.29603"
"732	0.30827"
"731	0.3208"
"730	0.33354"
"729	0.34641"
"728	0.35956"
"727	0.37314"
"726	0.38677"
"725	0.40049"
"724	0.41431"
"723	0.42806"
"722	0.44162"
"721	0.45528"
"720	0.46874"
"719	0.48173"
"718	0.4941"
"717	0.50608"
"716	0.5176"
"715	0.52814"
"714	0.53847"
"713	0.54818"
"712	0.55753"
"711	0.56582"
"710	0.57341"
"709	0.58043"
"708	0.58635"
"707	0.59176"
"706	0.59681"
"705	0.60059"
"704	0.60369"
"703	0.6067"
"702	0.60925"
"701	0.61108"
"700	0.61251"
"699	0.61358"
"698	0.61407"
"697	0.61414"
"696	0.61407"
"695	0.61388"
"694	0.61352"
"693	0.61296"
"692	0.61216"
"691	0.61111"
"690	0.60986"
"689	0.60868"
"688	0.60745"
"687	0.60614"
"686	0.60466"
"685	0.6031"
"684	0.60171"
"683	0.60025"
"682	0.59866"
"681	0.59728"
"680	0.59589"
"679	0.59454"
"678	0.59323"
"677	0.59184"
"676	0.59061"
"675	0.58944"
"674	0.58847"
"673	0.58761"
"672	0.58645"
"671	0.58554"
"670	0.58486"
"669	0.58442"
"668	0.584"
"667	0.58371"
"666	0.5837"
"665	0.58382"
"664	0.58395"
"663	0.58438"
"662	0.585"
"661	0.58579"
"660	0.58683"
"659	0.58794"
"658	0.58931"
"657	0.59088"
"656	0.59259"
"655	0.59429"
"654	0.59599"
"653	0.59788"
"652	0.59999"
"651	0.60219"
"650	0.60448"
"649	0.6068"
"648	0.609"
"647	0.61114"
"646	0.61324"
"645	0.61516"
"644	0.61712"
"643	0.61929"
"642	0.62127"
"641	0.62287"
"640	0.62463"
"639	0.62639"
"638	0.62778"
"637	0.62905"
"636	0.63012"
"635	0.63122"
"634	0.63221"
"633	0.63307"
"632	0.63367"
"631	0.63403"
"630	0.63437"
"629	0.63451"
"628	0.63471"
"627	0.6346"
"626	0.63447"
"625	0.63437"
"624	0.63406"
"623	0.6337"
"622	0.63279"
