s.no.,Magnetic field (H) (Gauss),Hall Voltage (V)
1,180,0
2,790,-0.005
3,920,-0.006
4,1310,-0.009
5,1620,-0.012
6,1980,-0.014
7,2460,-0.017
8,2680,-0.018
9,3040,-0.020
10,3380,-0.022
11,3760,-0.021
12,4100,-0.022
13,4430,-0.023
14,4750,-0.024
15,5110,-0.026
16,5410,-0.027
17,5700,-0.028
18,5970,-0.029
19,6210,-0.029
20,6500,-0.029
21,6670,-0.029
22,6860,-0.029
23,7030,-0.029
24,7180,-0.030
25,7300,-0.030
26,7420, -0.030
27,7550, -0.031
28,7670, -0.031
29,7790, -0.032
30,7900, -0.032
31,7980, -0.032
32,8120, -0.032
33,8040, -0.032
34,7880, -0.030
35,7720, -0.029
36,7620, -0.029
37,7500, -0.028
38,7380, -0.028
39,7240, -0.027
40,7090, -0.027
41,6890, -0.027
42,6750, -0.026
43,6530, -0.026
44,6310, -0.025
45,6050, -0.024
46,5780, -0.024
47,5440, -0.024
48,5120, -0.023
49,4790, -0.022
50,4460, -0.022
51,4120,-0.021
52,3690,-0.020
53,3390,-0.016
54,3040,-0.014
55,2680,-0.013
56,2330,-0.012
57,1970,-0.009
58,1620,-0.007
59,1266,-0.005
60,900,-0.002
61,460,-0.001
62,410,0.0
63,-110,0.006
64,-500,0.009
65,-720,0.011
66,-900,0.013
67,-1160,0.014
68,-1560,0.019
69,-1860,0.020
70,-2210,0.023
71,-2560,0.026
72,-2900,0.029
73,-3320,0.033
74,-3660,0.036
75,-3910,0.038
76,-4270,0.041
77,-4600,0.042
78,-4910,0.043
79,-5220,0.045
80,-5540,0.047
81,-5810,0.048
82,-6060,0.048
83,-6280,0.048
84,-6510,0.047
85,-6710,0.047
86,-6860,0.047
87,-7000,0.048
88,-7180,0.047
89,-7310,0.048
90,-7430,0.047
91,-7530,0.047
92,-7680,0.048
93,-7790,0.049
94,-7660,0.050
95,-7540,0.051
96,-7490,0.051
97,-7400,0.051
98,-7290,0.052
99,-7130,0.052
100,-7000,0.051
101,-6870,0.050
102,-6720,0.048
103,-6510,0.047
104,-6340,0.046
105,-6100,0.046
106,-5870,0.046
107,-5640,0.045
108,-5270,0.043
109,-5000,0.042
110,-4670,0.038
111,-4340,0.036
112,-3960,0.033
113,-3620,0.031
114,-3280,0.030
115,-2840,0.027
116,-2480,0.024
117,-2220,0.023
118,-1910,0.021
119,-1550,0.019
120,-1100,0.016
121,-840,0.015
122,-480,0.013
123,-210,0.012
124,-40,0.010
