H,V
440,-0.01
800,-0.018
1160,-0.025
1510,-0.032
1860,-0.038
2210,-0.044
2560,-0.047
3000,-0.051
3340,-0.055
3640,-0.057
4020,-0.061
4350,-0.064
4670,-0.067
4960,-0.069
5350,-0.071
5620,-0.072
5910,-0.074
6200,-0.075
6450,-0.076
6670,-0.075
7750,-0.079
7810,-0.079
7890,-0.079
7990,-0.079
8120,-0.08
8150,-0.08
8010,-0.08
7910,-0.079
7810,-0.078
7700,-0.076
7590,-0.075
7470,-0.072
7320,-0.071
7190,-0.069
7020,-0.067
6870,-0.067
6680,-0.068
6500,-0.068
6240,-0.069
5980,-0.07
5650,-0.07
5340,-0.068
5010,-0.066
4720,-0.062
4350,-0.059
4010,-0.055
3660,-0.052
3310,-0.048
2910,-0.045
2510,-0.04
2160,-0.036
1840,-0.03
1480,-0.023
1040,-0.015
730,-0.01
370,-0.002
-160,0.002
-510,0.009
-810,0.013
-1170,0.02
-1530,0.026
-1870,0.032
-2310,0.038
-2610,0.043
-2920,0.048
-3300,0.053
-3800,0.061
-4130,0.065
-4490,0.07
-4770,0.074
-5080,0.079
-5310,0.081
-5560,0.083
-5890,0.086
-6110,0.087
-6350,0.089
-6550,0.091
-6730,0.093
-6920,0.094
-7100,0.095
-7260,0.096
-7410,0.099
-7500,0.102
-7600,0.104
-7740,0.104
-7800,0.102
-7690,0.102
-7570,0.1
-7460,0.098
-7360,0.097
-7230,0.095
-7100,0.094
-6990,0.092
-6790,0.089
-6630,0.086
-6400,0.083
-6220,0.08
-6020,0.078
-5740,0.076
-5460,0.074
-5200,0.072
-4880,0.071
-4430,0.065
-4090,0.064
-3750,0.06
-3370,0.054
-3110,0.051
-2710,0.045
-2400,0.04
-2090,0.035
-1780,0.028
-1420,0.024
-1020,0.017
-770,0.013
-250,0.005
-80,0.002
