I0,V0,I1,V1,I2,V2,I3,V3,I4,V4
73.8,0.489,51.48,0.432,31.53,0.159,38.50,0.219,26.19,0.301
73.6,0.821,51.5,0.569,31.27,0.754,37.65,0.888,26.12,0.716
73.5,1.188,50.70,1.060,31.04,0.954,36.76,1.123,26.04,0.804
73.2,1.609,50.39,1.397,30.88,1.051,36.70,1.532,25.90,1.134
72.6,1.823,49.80,1.888,30.72,1.157,36.65,1.710,25.85,1.510
72.2,2.332,49.74,2.122,30.24,2.079,36.55,2.165,25.79,1.667
72.0,2.437,49.63,2.715,29.90,2.33,36.41,2.570,25.64,1.703
72.5,2.860,49.34,2.938,29.14,2.737,35.80,2.890,24.85,2.114
71.1,3.572,48.10,3.834,28.62,3.501,35.33,3.194,24.72,2.592
70.0,3.743,43.61,4.584,27.90,3.949,31.13,4.364,23.82,2.960
69.3,3.852,40.27,4.784,26.60,4.320,29.83,4.503,22.47,3.730
66.8,4.116,37.61,4.970,26.16,4.386,28.75,4.855,21.73,4.014
64.8,4.291,37.20,5.001,26.07,4.417,27.21,4.966,19.84,4.368
60.8,4.606,34.90,5.090,26.64,4.608,22.89,5.026,19.28,4.454
55.06,4.927,33.45,5.148,23.67,4.909,22.30,5.056,18.23,4.560
50.38,5.113,31.09,5.231,20.98,4.938,20.37,5.154,17.35,4.670
43.20,5.313,29.33,5.282,17.23,5.139,17.24,5.280,16.74,4.734
37.87,5.443,25.18,5.388,15.44,5.209,16.95,5.285,14.67,4.932
33.64,5.528,23.90,5.412,14.96,5.226,13.83,5.385,15.58,4.863
26.35,5.649,17.76,5.530,11.27,5.345,12.17,5.433,13.83,4.945
21.88,5.710,14.74,5.580,8.96,5.411,10.91,5.457,12.91,4.973
13.50,5.823,11.27,5.632,7.36,5.446,9.69,5.480,8.96,5.200
8.96,5.873,7.50,5.632,3.80,5.528,7.60,5.530,6.20,5.316
6.00,5.900,5.34,5.711,2.66,5.546,5.78,5.572,5.89,5.329
1.19,5.941,2.94,5.737,1.88,5.559,3.55,5.616,4.16,5.390
,,1.15,5.751,1.11,5.565,2.44,5.636,3.02,5.427
,,,,,,1.61,5.652,1.75,5.465
,,,,,,1.13,5.660,1.09,5.481
